"idPedido","idCamion"
"2006AR103-001",A101602A
"2006AR103-001",A101602B
"2006AR103-001",A101602D
"2006AR103-001",A102978A
"2006AR103-001",A103304A
"2006AR103-001",A103328A
"2006AR103-001",A103451A
"2006AR103-001",A103451B
"2006AR103-001",A103451C
"2006AR103-001",A103451D
"2006AR103-001",A103451E
"2006AR103-001",A103451F
"2006AR103-001",A103451G
"2006AR103-001",A103628A
"2006AR103-001",A103652A
"2006AR103-001",A103698A
"2006AR103-001",A103761A
"2006AR103-001",A103761D
"2006AR103-001",A103811A
"2006AR103-001",A103811B
"2006AR103-001",A103811C
"2006AR103-001",A104096A
"2006AR103-001",A104161B
"2006AR103-001",A104161C
"2006AR103-001",A104715A
"2006AR103-001",A104715B
"2006AR103-001",A104715C
"2006AR103-001",A104715D
"2006AR103-001",A104715E
"2006AR103-001",A104877A
"2006AR103-001",A104877C
"2006AR103-001",A104967A
"2006AR103-001",A104967B
"2006AR103-001",A104967C
"2006AR103-001",A106022A
"2006AR103-001",A106058D
"2006AR103-001",A106058E
"2006AR103-001",A106626A
"2006AR103-001",A108122A
"2006AR103-001",A110372A
"2006AR103-001",A110372B
"2006AR103-001",A111002A
"2006AR103-001",A112522A
"2006AR103-001",A113290A
"2006AR103-001",A113734C
"2006AR103-001",A114833A
"2006AR103-001",A115178B
"2006AR103-001",A115178C
"2006AR103-001",A115178D
"2006AR103-001",A116776A
"2006AR103-001",A120540A
"2006AR103-001",A120540B
"2006AR103-001",A121152A
"2006AR103-001",A121485A
"2006AR103-001",A121944A
"2006AR103-001",A122190B
"2006AR103-001",A123070A
"2006AR103-001",A124517A
"2006AR103-001",A127898A
"2006AR103-001",A128208A
"2006AR103-001",A129527B
"2006AR103-001",A129757A
"2006AR103-001",AA9001A
"2006AR103-001",AA9001B
"2006AR103-001",AA9001C
"2006AR103-001",AA9001E
"2006AR103-001",AA9001F
"2006AR103-001",AA9001G
"2006AR103-001",AA9001H
"2006AR103-003",A101602A
"2006AR103-003",A101602B
"2006AR103-003",A101602D
"2006AR103-003",A102978A
"2006AR103-003",A103304A
"2006AR103-003",A103328A
"2006AR103-003",A103451A
"2006AR103-003",A103451B
"2006AR103-003",A103451C
"2006AR103-003",A103451D
"2006AR103-003",A103451E
"2006AR103-003",A103451F
"2006AR103-003",A103451G
"2006AR103-003",A103628A
"2006AR103-003",A103652A
"2006AR103-003",A103698A
"2006AR103-003",A103761A
"2006AR103-003",A103761D
"2006AR103-003",A103811A
"2006AR103-003",A103811B
"2006AR103-003",A103811C
"2006AR103-003",A104096A
"2006AR103-003",A104161B
"2006AR103-003",A104161C
"2006AR103-003",A104715A
"2006AR103-003",A104715B
"2006AR103-003",A104715C
"2006AR103-003",A104715D
"2006AR103-003",A104715E
"2006AR103-003",A104877A
"2006AR103-003",A104877C
"2006AR103-003",A104967A
"2006AR103-003",A104967B
"2006AR103-003",A104967C
"2006AR103-003",A106022A
"2006AR103-003",A106058D
"2006AR103-003",A106058E
"2006AR103-003",A106626A
"2006AR103-003",A108122A
"2006AR103-003",A110372A
"2006AR103-003",A110372B
"2006AR103-003",A111002A
"2006AR103-003",A112522A
"2006AR103-003",A113290A
"2006AR103-003",A113734C
"2006AR103-003",A114833A
"2006AR103-003",A115178B
"2006AR103-003",A115178C
"2006AR103-003",A115178D
"2006AR103-003",A116776A
"2006AR103-003",A120540A
"2006AR103-003",A120540B
"2006AR103-003",A121152A
"2006AR103-003",A121485A
"2006AR103-003",A121944A
"2006AR103-003",A122190B
"2006AR103-003",A123070A
"2006AR103-003",A124517A
"2006AR103-003",A127898A
"2006AR103-003",A128208A
"2006AR103-003",A129527B
"2006AR103-003",A129757A
"2006AR103-003",AA9001A
"2006AR103-003",AA9001B
"2006AR103-003",AA9001C
"2006AR103-003",AA9001E
"2006AR103-003",AA9001F
"2006AR103-003",AA9001G
"2006AR103-003",AA9001H
"2008AR016-002",A102879A
"2008AR016-002",A102879B
"2008AR016-002",A102966A
"2008AR016-002",A103296A
"2008AR016-002",A103958A
"2008AR016-002",A104403D
"2008AR016-002",A104877A
"2008AR016-002",A104887A
"2008AR016-002",A105422A
"2008AR016-002",A110385A
"2008AR016-002",A115901A
"2008AR016-002",A118173B
"2008AR016-002",A121152B
"2008AR016-002",A122190B
"2008AR016-002",A125990A
"2008AR016-002",A126065A
"2008AR016-002",A127343A
"2008AR016-002",A127796A
"2008AR016-002",A127810A
"2008AR016-002",A127958B
"2008AR016-002",A129527A
"2008AR016-002",A130458A
"2008AR016-002",A130974A
"2008AR016-002",A140758A
"2202AP001-008",A101602A
"2202AP001-008",A103328A
"2202AP001-008",A103451A
"2202AP001-008",A103451B
"2202AP001-008",A103451C
"2202AP001-008",A103451D
"2202AP001-008",A103451E
"2202AP001-008",A103451F
"2202AP001-008",A103451G
"2202AP001-008",A103628A
"2202AP001-008",A103761A
"2202AP001-008",A103811A
"2202AP001-008",A103811B
"2202AP001-008",A103811C
"2202AP001-008",A103811D
"2202AP001-008",A104096A
"2202AP001-008",A104161B
"2202AP001-008",A104161C
"2202AP001-008",A104715A
"2202AP001-008",A104715B
"2202AP001-008",A104715C
"2202AP001-008",A104715D
"2202AP001-008",A104715E
"2202AP001-008",A104877C
"2202AP001-008",A104967A
"2202AP001-008",A104967B
"2202AP001-008",A104967C
"2202AP001-008",A106058D
"2202AP001-008",A106058E
"2202AP001-008",A106626A
"2202AP001-008",A106626B
"2202AP001-008",A107070A
"2202AP001-008",A108122A
"2202AP001-008",A109742A
"2202AP001-008",A109742B
"2202AP001-008",A110372A
"2202AP001-008",A111002A
"2202AP001-008",A113290A
"2202AP001-008",A114833A
"2202AP001-008",A116776A
"2202AP001-008",A119269A
"2202AP001-008",A120540A
"2202AP001-008",A120540B
"2202AP001-008",A121837A
"2202AP001-008",A121837B
"2202AP001-008",A121944A
"2202AP001-008",A123070B
"2202AP001-008",A125695A
"2202AP001-008",A125695B
"2202AP001-008",A125695C
"2202AP001-008",A127898A
"2202AP001-008",A129921A
"2202AP001-008",A139955A
"2202AP001-008",AA9001A
"2202AP001-008",AA9001B
"2202AP001-008",AA9001C
"2202AP001-008",AA9001D
"2202AP001-008",AA9001E
"2202AP001-008",AA9001F
"2202AP001-008",AA9001G
"2202AP001-008",AA9001H
"2009AR054-002",A102879A
"2009AR054-002",A102879B
"2009AR054-002",A102966A
"2009AR054-002",A103296A
"2009AR054-002",A103958A
"2009AR054-002",A104403D
"2009AR054-002",A104877A
"2009AR054-002",A104887A
"2009AR054-002",A105422A
"2009AR054-002",A110385A
"2009AR054-002",A115901A
"2009AR054-002",A118173B
"2009AR054-002",A121152B
"2009AR054-002",A122190B
"2009AR054-002",A125990A
"2009AR054-002",A126065A
"2009AR054-002",A127343A
"2009AR054-002",A127796A
"2009AR054-002",A127810A
"2009AR054-002",A127958B
"2009AR054-002",A129527A
"2009AR054-002",A130458A
"2009AR054-002",A130974A
"2009AR054-002",A140758A
"2008AR074-001",A101602A
"2008AR074-001",A101602B
"2008AR074-001",A101602D
"2008AR074-001",A102978A
"2008AR074-001",A103304A
"2008AR074-001",A103328A
"2008AR074-001",A103451A
"2008AR074-001",A103451B
"2008AR074-001",A103451C
"2008AR074-001",A103451D
"2008AR074-001",A103451E
"2008AR074-001",A103451F
"2008AR074-001",A103451G
"2008AR074-001",A103628A
"2008AR074-001",A103652A
"2008AR074-001",A103698A
"2008AR074-001",A103761A
"2008AR074-001",A103761D
"2008AR074-001",A103811A
"2008AR074-001",A103811B
"2008AR074-001",A103811C
"2008AR074-001",A104096A
"2008AR074-001",A104161B
"2008AR074-001",A104161C
"2008AR074-001",A104715A
"2008AR074-001",A104715B
"2008AR074-001",A104715C
"2008AR074-001",A104715D
"2008AR074-001",A104715E
"2008AR074-001",A104877A
"2008AR074-001",A104877C
"2008AR074-001",A104967A
"2008AR074-001",A104967B
"2008AR074-001",A104967C
"2008AR074-001",A106022A
"2008AR074-001",A106058D
"2008AR074-001",A106058E
"2008AR074-001",A106626A
"2008AR074-001",A108122A
"2008AR074-001",A110372A
"2008AR074-001",A110372B
"2008AR074-001",A111002A
"2008AR074-001",A112522A
"2008AR074-001",A113290A
"2008AR074-001",A113734C
"2008AR074-001",A114833A
"2008AR074-001",A115178B
"2008AR074-001",A115178C
"2008AR074-001",A115178D
"2008AR074-001",A116776A
"2008AR074-001",A120540A
"2008AR074-001",A120540B
"2008AR074-001",A121152A
"2008AR074-001",A121485A
"2008AR074-001",A121944A
"2008AR074-001",A122190B
"2008AR074-001",A123070A
"2008AR074-001",A124517A
"2008AR074-001",A127898A
"2008AR074-001",A128208A
"2008AR074-001",A129527B
"2008AR074-001",A129757A
"2008AR074-001",AA9001A
"2008AR074-001",AA9001B
"2008AR074-001",AA9001C
"2008AR074-001",AA9001E
"2008AR074-001",AA9001F
"2008AR074-001",AA9001G
"2008AR074-001",AA9001H
"2010AR086-001",A102879A
"2010AR086-001",A102879B
"2010AR086-001",A102966A
"2010AR086-001",A103296A
"2010AR086-001",A103958A
"2010AR086-001",A104403D
"2010AR086-001",A104877A
"2010AR086-001",A104887A
"2010AR086-001",A105422A
"2010AR086-001",A110385A
"2010AR086-001",A115901A
"2010AR086-001",A118173B
"2010AR086-001",A121152B
"2010AR086-001",A122190B
"2010AR086-001",A125990A
"2010AR086-001",A126065A
