"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad"
"2006AR103-001",-7.49831,43.47941,-7.4984,43.48094,M2,0
"2006AR103-003",-7.49774,43.48049,-7.55882,43.69929,M2,0
"2008AR016-002",-7.7299,43.7099,-7.72994,43.70996,M3,0
"2202AP001-008",-5.94963,43.33326,-5.94949,43.33524,M1,0
"2009AR054-002",-8.15033,43.3681,-8.14216,43.36989,M3,0
"2008AR074-001",-7.72134,43.63118,-8.14851,43.36715,M2,0
"2010AR086-001",-8.21166,43.19374,-8.21258,43.21259,M3,0
"2105AP002-017",-7.20135,43.36716,-5.94873,43.33801,M1,0
"2011AR014-004",-8.42826,43.26858,-8.76228,42.69002,M2,0
"2013AP004-004",-8.73069,42.98493,-8.72817,42.98866,M2,0
"2011AR111-002",-8.43607,43.25846,-8.77142,43.14322,M3,0
"2014AP001-011",-8.75573,42.69099,-8.76768,42.68004,M2,0
"2012AR117-005",-8.77093,43.14351,-8.83179,42.8391,M3,0
"2016AR017-002",-8.58659,42.39357,-8.4058,42.17904,M2,0
"2016AR017-001",-8.58847,42.39979,-8.0,42.49871,M3,0
"2018AR016-004",-8.00324,42.49349,-7.93172,42.35239,M3,0
"2007AR244-002",-7.69005,43.54549,-7.0813,43.11828,M0,0
"2017AR027-001",-8.76606,42.06165,-7.20322,43.22633,M2,0
"2018AZ078-003",-7.93188,42.35274,-7.2225,43.23298,M3,0
"2021AR116-004",-7.22152,43.23273,-7.22144,43.23307,M3,0
"2017AR080-001",-8.82187,42.05808,-5.94798,43.33857,M1,0
"2021AR112-005",-7.20997,43.22233,-5.58456,43.471,M2,0
"2021AR116-002",-7.2224,43.23316,-5.91257,43.58759,M3,0
"2102AR049-001",-5.91212,43.5877,-5.90424,43.49112,M3,0
"2102AR067-001",-5.90483,43.49081,-5.67963,43.37336,M3,0
"2103AR008-001",-6.03218,43.50024,-6.07894,43.48558,M3,0
"2103AR033-001",-6.08613,43.48093,-6.08633,43.48365,M3,0
"2102AR027-002",-5.58748,43.46707,-6.09923,43.47422,M2,0
"2103AR036-001",-6.08578,43.48073,-6.09654,43.47341,M3,0
"2105AP002-019",-7.20712,43.37026,-7.19936,43.37593,M1,0
"2103AR072-001",-6.02492,43.46728,-6.02463,43.46772,M3,0
"2105AP002-002",-7.20321,43.37177,-7.20166,43.36894,M1,0
"2104AR039-003",-7.06392,43.3937,-7.08577,43.41424,M3,0
"2104AP001-001",-6.76192,43.54763,-7.09906,43.44593,M2,0
"2104AR040-002",-7.08444,43.41408,-7.20538,43.41804,M3,0
"2105AR089-003",-7.20911,43.42009,-7.20658,43.40999,M3,0
"2105AR090-001",-7.20701,43.41526,-7.23509,43.40383,M3,0
"2107AR100-001",-7.6949,43.547,-7.68846,43.54585,M3,0
"2107AR108-001",-7.68684,43.55194,-7.68719,43.55234,M3,0
"2106AR008-009",-7.32927,43.44169,-7.74842,43.6749,M2,0
"2107AR110-001",-7.69092,43.54709,-7.61846,43.65411,M3,0
"2107AR111-001",-7.61897,43.65204,-7.68577,43.55328,M3,0
"2108AP001-002",-7.7498,43.6746,-7.75082,43.67443,M2,0
"2107AR125-001",-7.61845,43.65426,-7.62028,43.67322,M3,0
"2108AP001-005",-7.75456,43.6788,-7.74989,43.68093,M2,0
"2107AR130-001",-7.62033,43.6724,-7.69535,43.51483,M3,0
"2107AR166-001",-7.63525,43.61818,-7.61989,43.65493,M3,0
"2203AP001-002",-6.47957,43.48249,-8.20157,43.59031,M2,0
