"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","replanificacion","camiones","replan_time","replan_time_limit","idCamion"
"2006AR075-001",-7.30229,43.45846,-7.30712,43.45335,M2,0,24,,2022-08-13 08:00:00.000,,
"2006AR102-001",-7.3386,43.40893,-7.35711,43.64441,M3,0,32,,2022-08-17 08:00:00.000,,
"2006AR077-001",-7.29631,43.4607,-7.39318,43.59581,M2,0,32,,2022-08-17 08:00:00.000,,
"2006AR112-001",-7.34672,43.60551,-7.27377,43.48908,M3,0,30,,2022-08-16 08:00:00.000,,
"2006AR120-001",-7.37995,43.47352,-7.38797,43.47692,M2,0,38,,2022-08-20 08:00:00.000,,
"2006AR120-002",-7.38055,43.47073,-7.3428,43.45841,M3,0,10,,2022-08-06 08:00:00.000,,
"2006AR124-006",-7.27258,43.45068,-7.30671,43.49499,M2,0,44,,2022-08-23 08:00:00.000,,
"2006AR124-009",-7.27665,43.44936,-7.2712,43.45174,M2,0,45,,2022-08-23 14:00:00.000,,
"2006AR126-007",-7.38751,43.49039,-7.38397,43.46797,M2,0,30,,2022-08-16 08:00:00.000,,
"2007AR054-001",-7.26033,43.54474,-7.45004,43.69076,M3,0,4,,2022-08-03 08:00:00.000,,
"2007AR055-002",-7.30513,43.59187,-7.45008,43.6907,M2,0,35,,2022-08-18 14:00:00.000,,
"2007AR134-001",-7.61367,43.51218,-7.31264,43.59874,M2,0,36,,2022-08-19 08:00:00.000,,
"2007AR180-001",-7.62703,43.67068,-7.41443,43.68036,M2,0,4,,2022-08-03 08:00:00.000,,
"2007AR197-001",-7.34919,43.5991,-7.43021,43.60489,M3,0,27,,2022-08-14 14:00:00.000,,
"2007AR267-001",-7.44953,43.66067,-7.48612,43.65811,M3,0,12,,2022-08-07 08:00:00.000,,
"2007AR233-002",-7.48631,43.65976,-7.41072,43.67992,M3,0,2,,2022-08-02 08:00:00.000,,
"2007AR298-001",-7.3678,43.59523,-7.4778,43.63214,M2,0,30,,2022-08-16 08:00:00.000,,
"2007AR303-001",-7.4058,43.587,-7.62358,43.69329,M2,0,45,,2022-08-23 14:00:00.000,,
"2007AR322-001",-7.64113,43.53966,-7.62201,43.69219,M2,0,5,,2022-08-03 14:00:00.000,,
"2007AR308-001",-7.42905,43.61281,-8.46602,42.26016,M3,0,36,,2022-08-19 08:00:00.000,,
"2017AR070-003",-8.46879,42.2543,-8.46947,42.25743,M3,0,8,,2022-08-05 08:00:00.000,,
"2021AR057-001",-7.47273,43.30982,-7.2049,43.21519,M3,0,37,,2022-08-19 14:00:00.000,,
"2021AR065-010",-7.20409,43.2195,-7.20524,43.21931,M3,0,18,,2022-08-10 08:00:00.000,,
"2021AR065-011",-7.20469,43.21978,-7.20145,43.21747,M3,0,43,,2022-08-22 14:00:00.000,,
"2021AR065-024",-7.20312,43.2273,-7.48208,43.26178,M3,0,35,,2022-08-18 14:00:00.000,,
"2021AR085-001",-7.49081,43.30852,-7.21487,43.19723,M3,0,16,,2022-08-09 08:00:00.000,,
"2021AR092-003",-7.47056,43.29298,-7.46548,43.31606,M3,0,3,,2022-08-02 14:00:00.000,,
"2021AR098-001",-7.23593,43.20879,-7.21661,43.20109,M3,0,12,,2022-08-07 08:00:00.000,,
"2103AR021-001",-6.16753,43.49381,-6.35744,43.43314,M3,0,42,,2022-08-22 08:00:00.000,,
"2105AR009-001",-7.07115,43.50864,-7.07187,43.50806,M3,0,46,,2022-08-24 08:00:00.000,,
"2015AR045-001",-8.6741,42.44982,-7.24698,43.39641,M2,0,49,,2022-08-25 14:00:00.000,,
"2105AR035-002",-7.13384,43.31167,-7.16007,43.31612,M2,0,1,,2022-08-01 14:00:00.000,,
"2105AR040-001",-7.27596,43.32136,-7.14319,43.30812,M2,0,26,,2022-08-14 08:00:00.000,,
"2105AR045-002",-7.2199,43.31069,-7.21732,43.30574,M2,0,28,,2022-08-15 08:00:00.000,,
"2105AR056-002",-7.19243,43.33656,-7.21284,43.48082,M3,0,37,,2022-08-19 14:00:00.000,,
"2105AR056-001",-7.1917,43.34156,-7.17427,43.33292,M3,0,37,,2022-08-19 14:00:00.000,,
"2105AR068-001",-7.27489,43.3233,-7.27497,43.32352,M3,0,17,,2022-08-09 14:00:00.000,,
"2105AR099-001",-7.16811,43.46552,-7.17249,43.46223,M3,0,9,,2022-08-05 14:00:00.000,,
"2106AR009-001",-7.27382,43.45195,-7.36654,43.4697,M3,0,29,,2022-08-15 14:00:00.000,,
"2106AR020-002",-7.41248,43.47879,-7.41233,43.47685,M2,0,40,,2022-08-21 08:00:00.000,,
"2106AR031-002",-7.27776,43.46855,-7.27749,43.46874,M3,0,28,,2022-08-15 08:00:00.000,,
"2106AR047-001",-7.30868,43.41578,-7.31729,43.59403,M3,0,1,,2022-08-01 14:00:00.000,,
"2106AR020-004",-7.41284,43.47796,-7.55214,43.69546,M2,0,4,,2022-08-03 08:00:00.000,,
"2106AR063-003",-7.35295,43.59096,-7.48044,43.6468,M3,0,39,,2022-08-20 14:00:00.000,,
"2107AR047-001",-7.50042,43.70628,-7.60609,43.5657,M2,0,44,,2022-08-23 08:00:00.000,,
"2107AR054-002",-7.48044,43.64684,-7.49904,43.65578,M3,0,49,,2022-08-25 14:00:00.000,,
"2107AR082-003",-7.36079,43.42034,-7.3649,43.42397,M2,0,32,,2022-08-17 08:00:00.000,,
"2107AR089-002",-7.5141,43.69069,-7.51481,43.69011,M3,0,43,,2022-08-22 14:00:00.000,,
"2107AR082-011",-7.6625,43.57811,-7.48211,43.67521,M2,0,42,,2022-08-22 08:00:00.000,,
"2107AR097-002",-7.49459,43.66711,-7.49603,43.66656,M3,0,23,,2022-08-12 14:00:00.000,,
"2107AR175-006",-7.46411,43.6714,-7.45601,43.67568,M3,0,13,,2022-08-07 14:00:00.000,,
"2109AR059-003",-7.82619,43.46731,-7.82524,43.46871,M3,0,31,,2022-08-16 14:00:00.000,,
"2109AR059-001",-7.83202,43.4743,-8.50292,43.22402,M3,0,24,,2022-08-13 08:00:00.000,,
"2111AR064-001",-8.5036,43.22301,-9.19674,42.94474,M3,0,27,,2022-08-14 14:00:00.000,,
"2114AR065-003",-8.6024,42.77585,-8.8056,42.67785,M3,0,18,,2022-08-10 08:00:00.000,,
"2114AR087-001",-9.02659,42.66997,-9.02796,42.66983,M3,0,15,,2022-08-08 14:00:00.000,,
